Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume,Subjectivity,Polarity
2015-08-20,90.56,0.9006,0.077,0.804,0.119,93.54,94.77,90.46,44415420,0.41687229437229445,0.04478896103896106
2015-08-21,86.06,0.9808,0.04,0.86,0.101,87.52,89.18,85.61,62473650,0.4772941468253969,0.021366567460317468
2015-08-24,82.09,0.9962,0.064,0.813,0.123,77.03,87.14,72.0,83487210,0.48175491979839813,0.16511517870213527
2015-08-25,83.0,0.9955,0.043,0.825,0.132,86.95,87.67,83.0,51860780,0.4507104454685099,0.2058851766513057
2015-08-26,87.19,0.9929,0.047,0.78,0.173,85.95,87.46,83.26,44994100,0.4075396825396826,0.20932539682539686
2015-08-27,89.73,0.9938,0.039,0.861,0.1,89.1,90.06,87.19,42290120,0.4194172646227438,0.07180908893237659
2015-08-28,91.01,-0.9615,0.1,0.832,0.068,89.88,91.48,89.792,33174580,0.5160356938658827,-0.023230621579678177
2015-08-31,89.43,0.9965,0.038,0.838,0.124,90.6,91.05,88.89,32771380,0.42175961293608344,0.18107970460911646
2015-09-01,87.23,0.9951,0.055,0.821,0.124,86.85,89.39,86.5,35958020,0.43868861024033423,0.10749738766980144
2015-09-02,89.89,0.8576,0.059,0.861,0.079,88.81,89.89,87.63,27010970,0.4058948144054527,0.06609215252832275
2015-09-03,88.15,0.983,0.025,0.92,0.054,89.76,89.82,87.73,26954140,0.42327452421792033,0.14653271257044845
2015-09-04,88.26,0.9958,0.04,0.863,0.097,87.2,88.39,86.7,27277250,0.4061804267161411,0.13252164502164504
2015-09-08,89.53,-0.2263,0.085,0.854,0.061,89.69,90.24,88.83,26935820,1.0,0.0
2015-09-09,90.44,0.9929,0.018,0.915,0.067,90.78,91.98,90.17,32482750,0.49513478945297107,0.15032467532467544
2015-09-10,91.98,0.9887,0.078,0.803,0.119,90.07,92.06,89.63,26392490,0.5010115864527629,0.11186720142602495
2015-09-11,92.05,0.9777,0.047,0.887,0.066,91.68,92.08,91.13,21102320,0.35629215745494824,0.17010470150005033
2015-09-14,92.31,0.9886,0.038,0.883,0.079,92.31,92.62,91.6,20108630,0.49921164021164,0.12198244348244351
2015-09-15,92.9,0.9901,0.042,0.856,0.102,92.37,93.25,91.79,18820730,0.4031969696969697,0.15186363636363637
2015-09-16,93.45,0.9924,0.045,0.864,0.091,92.9,93.6,92.63,16265640,0.42227123451261356,0.17278772951186755
2015-09-17,94.34,0.988,0.056,0.828,0.116,93.37,95.51,92.9,27716330,0.5041292041292039,0.17792832167832165
2015-09-18,94.4,0.8328,0.066,0.86,0.074,93.2,95.19,93.05,62232280,0.3582278308693403,0.07028233820686651
2015-09-21,95.55,0.9468,0.072,0.844,0.084,94.62,96.49,94.52,28760280,0.4821115567439096,0.15278706179441467
2015-09-22,92.96,0.9866,0.061,0.844,0.095,93.77,94.68,91.92,36834600,0.45052151954325864,0.1457290294246816
2015-09-23,93.97,0.984,0.058,0.853,0.09,93.4,94.32,92.8,21672220,0.407684841613413,0.08849435397054443
2015-09-24,94.41,0.8738,0.045,0.889,0.066,93.06,94.765,92.24,29037890,0.4201879421391615,0.12872914686939083
